location,datetime,count
vrsic,2022-11-14,0
vrsic,2022-11-15,0
vrsic,2022-11-16,0
vrsic,2022-11-17,0
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-20,17
vrsic,2022-07-21,14
vrsic,2022-07-22,9
vrsic,2022-07-23,36
vrsic,2022-07-24,15
vrsic,2022-07-25,3
vrsic,2022-07-26,1
vrsic,2022-07-27,3
vrsic,2022-07-28,4
vrsic,2022-07-29,6
vrsic,2022-07-30,9
vrsic,2022-07-31,28
vrsic,2022-08-01,3
vrsic,2022-08-02,0
vrsic,2022-08-03,23
vrsic,2022-08-04,19
vrsic,2022-08-05,6
vrsic,2022-08-06,5
vrsic,2022-08-07,0
vrsic,2022-08-08,3
vrsic,2022-08-09,12
vrsic,2022-08-10,24
vrsic,2022-08-11,10
vrsic,2022-08-12,0
vrsic,2022-08-13,3
vrsic,2022-08-14,23
vrsic,2022-08-15,16
vrsic,2022-08-16,1
vrsic,2022-08-17,9
vrsic,2022-08-18,22
vrsic,2022-08-19,8
vrsic,2022-08-20,16
vrsic,2022-08-21,12
vrsic,2022-08-22,12
vrsic,2022-08-23,0
vrsic,2022-08-24,15
vrsic,2022-08-25,0
vrsic,2022-08-26,9
vrsic,2022-08-27,23
vrsic,2022-08-28,0
vrsic,2022-08-29,0
vrsic,2022-08-30,2
vrsic,2022-08-31,4
vrsic,2022-09-01,0
vrsic,2022-09-02,13
vrsic,2022-09-03,37
vrsic,2022-09-04,16
vrsic,2022-09-05,11
vrsic,2022-09-06,2
vrsic,2022-09-07,3
vrsic,2022-09-08,13
vrsic,2022-09-09,2
vrsic,2022-09-10,6
vrsic,2022-09-11,7
vrsic,2022-09-12,18
vrsic,2022-09-13,0
vrsic,2022-09-14,8
vrsic,2022-09-15,7
vrsic,2022-09-16,0
vrsic,2022-09-17,0
vrsic,2022-09-18,13
vrsic,2022-09-19,0
vrsic,2022-09-20,1
vrsic,2022-09-21,2
vrsic,2022-09-22,0
vrsic,2022-09-23,3
vrsic,2022-09-24,5
vrsic,2022-09-25,0
vrsic,2022-09-26,2
vrsic,2022-09-27,7
vrsic,2022-09-28,0
vrsic,2022-09-29,2
vrsic,2022-09-30,0
vrsic,2022-10-01,1
vrsic,2022-10-02,0
vrsic,2022-10-03,3
vrsic,2022-10-04,7
vrsic,2022-10-05,73
vrsic,2022-10-06,23
vrsic,2022-10-07,0
vrsic,2022-10-08,2
vrsic,2022-10-09,0
vrsic,2022-10-10,0
vrsic,2022-10-11,0
vrsic,2022-10-12,0
vrsic,2022-10-13,8
vrsic,2022-10-14,0
vrsic,2022-10-15,2
vrsic,2022-10-16,0
vrsic,2022-10-17,0
vrsic,2022-10-18,0
vrsic,2022-10-19,0
vrsic,2022-10-20,0
vrsic,2022-10-21,4
vrsic,2022-10-22,0
vrsic,2022-10-23,3
vrsic,2022-10-24,8
vrsic,2022-10-25,2
vrsic,2022-10-26,5
vrsic,2022-10-27,1
vrsic,2022-10-28,4
vrsic,2022-10-29,15
vrsic,2022-10-30,15
vrsic,2022-10-31,6
vrsic,2022-11-01,6
vrsic,2022-11-02,0
vrsic,2022-11-03,0
vrsic,2022-11-04,6
vrsic,2022-11-05,0
vrsic,2022-11-06,1
vrsic,2022-11-07,0
vrsic,2022-11-08,0
vrsic,2022-11-09,4
vrsic,2022-11-10,0
vrsic,2022-11-11,0
vrsic,2022-11-12,0
vrsic,2022-11-13,0
vrsic,2022-11-14,0
vrsic,2022-11-15,0
vrsic,2022-11-16,0
vrsic,2022-11-17,2
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-15,7
vrsic,2022-07-16,30
vrsic,2022-07-17,97
vrsic,2022-07-18,52
vrsic,2022-07-19,69
vrsic,2022-07-20,58
vrsic,2022-07-21,31
vrsic,2022-07-22,75
vrsic,2022-07-23,92
vrsic,2022-07-24,26
vrsic,2022-07-25,61
